Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
18.110.64,False,True,True,444,729,The American Wing,1918,Bedstead,Bedstead,American,,,,,1192174616222311149447,Maker|Maker|Decorator|Decorator|Decorator,Possibly by|Cornice attributed to|Painting attributed to|Carving attributed to|Carving attibuted to,Thomas Seymour|John Doggett|John Ritto Penniman|Samuel McIntire|Thomas Wightman,"1771–1848|1780–1857|American, Milford, Massachusetts 1782–1841 Baltimore, Maryland|1757–1811|American, 1759–1827"," | | | | ","Seymour, Thomas|Doggett, John|Penniman, John Ritto|McIntire, Samuel|Wightman, Thomas",American|American|American|American|American,1771      |1780      |1782      |1757      |1759      ,1848      |1857      |1841      |1811      |1827      ,||||,http://vocab.getty.edu/page/ulan/500023428|http://vocab.getty.edu/page/ulan/500064036|http://vocab.getty.edu/page/ulan/500018826|http://vocab.getty.edu/page/ulan/500023295|,https://www.wikidata.org/wiki/Q61764333|https://www.wikidata.org/wiki/Q108254415|https://www.wikidata.org/wiki/Q3488972|https://www.wikidata.org/wiki/Q370420|,1810–15,1810,1815,"Mahogany, mahogany veneer, mahoganized maple and white pine, painted and gilded wood	",106 3/4 x 58 5/8 x 79 1/2 in. (271.1 x 148.9 x 201.9 cm),"John Stewart Kennedy Fund, 1918",Made in,Boston,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/444,https://www.wikidata.org/wiki/Q116390285,,"Metropolitan Museum of Art, New York, NY",,,
11.87.30,False,True,True,585,,The American Wing,1911,Bottle,Bottle,Mexican,,,,,,,,,,,,,,,,,,ca. 1800,1797,1800,Tin-glazed earthenware,H. 7 1/4 in. (18.4 cm),"Gift of Mrs. Robert W. de Forest, 1911",Made in,,,,Mexico,,,,,,,,,http://www.metmuseum.org/art/collection/search/585,https://www.wikidata.org/wiki/Q83560023,,"Metropolitan Museum of Art, New York, NY",,,
11.87.68,False,True,True,671,774,The American Wing,1911,Bowl,Bowl,Mexican,,,,,,,,,,,,,,,,,,ca. 1820,1817,1820,Tin-glazed earthenware,Diam. 14 3/4 in. (37.5 cm),"Gift of Mrs. Robert W. de Forest, 1911",Made in,,,,Mexico,,,,,,,,,http://www.metmuseum.org/art/collection/search/671,https://www.wikidata.org/wiki/Q83560027,,"Metropolitan Museum of Art, New York, NY",Men|Horses,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300250148,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q726
12.3.1,True,True,True,674,749,The American Wing,1912,Basin,Basin,Mexican,,,,,18713,Artist," ",Master Potter A," "," ",Master Potter A," ","          ","          ",,,,ca. 1650,1647,1650,Tin-glazed earthenware,Diam. 20 3/4 in. (52.7 cm),"Gift of Mrs. Robert W. de Forest, 1912",Made in,,,,Mexico,,,,,,,,,http://www.metmuseum.org/art/collection/search/674,https://www.wikidata.org/wiki/Q29382870,,"Metropolitan Museum of Art, New York, NY",,,
1987.26,False,True,True,788,774,The American Wing,1987,Bowl,Bowl,American,,,,,123,Maker," ","Ceramic Art Company, Trenton, New Jersey","American, 1889–1896"," ",Ceramic Art Company ,American,1889      ,1896      ,,http://vocab.getty.edu/page/ulan/500356006,,ca. 1897,1894,1897,"Porcelain, overglaze enamel decoration",H. 3 in. (7.6 cm); Diam. 7 13/16 in. (19.8 cm),"Friends of the American Wing Fund, 1987",Made in,Trenton,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/788,https://www.wikidata.org/wiki/Q83560032,,"Metropolitan Museum of Art, New York, NY",,,
10.125.680,False,True,True,945,708,The American Wing,1910,Box,Box,American,,,,,127,Maker,Attributed to,John Thurston,1607–1685," ","Thurston, John",American,1607      ,1685      ,,,,1660–85,1660,1685,"White oak, red oak, yellow pine",9 1/2 x 26 5/8 x 15 1/2 in. (24.1 x 67.6 x 39.4 cm),"Gift of Mrs. Russell Sage, 1909",Possibly made in|Possibly made in,Dedham|Medfield,,,United States|United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/945,https://www.wikidata.org/wiki/Q83560036,,"Metropolitan Museum of Art, New York, NY",,,
"77.9a, b",True,True,True,1029,706,The American Wing,1877,Vase,The Bryant Vase,American,,,,,1289162539129016236,Designer|Manufacturer|Decorator|Designer,Designed by|Manufactured by|Chased by|Medallions by,James Horton Whitehouse|Tiffany & Co.|Eugene J. Soligny|Augustus Saint-Gaudens,"1833–1902|1837–present|1832–1901|American, Dublin 1848–1907 Cornish, New Hampshire"," | | | ","Whitehouse, James Horton|Tiffany & Co.|Soligny, Eugene J.|Saint-Gaudens, Augustus"," | |American|American",1833      |1837      |1832      |1848      ,1902      |9999      |1901      |1907      ,|||,|http://vocab.getty.edu/page/ulan/500330306||http://vocab.getty.edu/page/ulan/500124332,https://www.wikidata.org/wiki/Q29438542|https://www.wikidata.org/wiki/Q1066858||https://www.wikidata.org/wiki/Q770625,1876,1876,1876,Silver and gold,33 1/2 x 14 x 11 5/16 in. (85.1 x 35.6 x 28.7 cm); Diam. 11 5/16 in. (28.7cm); 452 oz. 16 dwt. (14084.2 g),"Gift of William Cullen Bryant, 1877",Made in,New York,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1029,https://www.wikidata.org/wiki/Q29382874,,"Metropolitan Museum of Art, New York, NY",Musical Instruments|Birds|Men|Women|Flowers,http://vocab.getty.edu/page/aat/300041620|http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q34379|https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q506
10.125.83,False,True,True,1047,774,The American Wing,1910,Bureau table,Bureau table,American,,,,,129,Maker,Attributed to,John Townsend,1732–1809," ","Townsend, John",American,1732      ,1809      ,,http://vocab.getty.edu/page/ulan/500062602,https://www.wikidata.org/wiki/Q56006667,ca. 1765,1762,1765,"Mahogany, chestnut, tulip poplar",34 3/8 x 36 1/2 x 20 1/2 in. (87.3 x 92.7 x 52.1 cm),"Gift of Mrs. Russell Sage, 1909",Made in,Newport,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1047,https://www.wikidata.org/wiki/Q29382878,,"Metropolitan Museum of Art, New York, NY",,,
10.125.168,True,True,True,1076,,The American Wing,1910,Cabinet,Cabinet,American,,,,,,,,,,,,,,,,,,1679,1679,1679,"Red oak, white pine, black walnut, red cedar, maple",18 x 17 x 10 in. (45.7 x 43.2 x 25.4 cm),"Gift of Mrs. Russell Sage, 1909",Made in,Salem,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1076,https://www.wikidata.org/wiki/Q83560038,,"Metropolitan Museum of Art, New York, NY",,,
1985.116,True,True,True,1083,743,The American Wing,1985,Cabinet,Cabinet,American,,,,,130,Maker,Attributed to,Daniel Pabst,"American, born Germany 1826–1910 Philadelphia, Pennsylvania"," ","Pabst, Daniel","American, born Germany",1826      ,1910      ,,http://vocab.getty.edu/page/ulan/500079679,https://www.wikidata.org/wiki/Q5218374,ca. 1877–80,1874,1880,"Walnut, maple, white pine, glass",96 x 42 x 20 in. (243.8 x 106.7 x 50.8 cm),"Friends of the American Wing Fund, 1985",Made in,Philadelphia,,,United States,,,,,,,,,http://www.metmuseum.org/art/collection/search/1083,https://www.wikidata.org/wiki/Q29382881,,"Metropolitan Museum of Art, New York, NY",,,
