Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
15.30.61,True,True,True,11311,761,The American Wing,1915,Painting,Lake George,American,,,,,16202,Artist," ",John Frederick Kensett,"American, Cheshire, Connecticut 1816–1872 New York"," ","Kensett, John Frederick",American,1816      ,1872      ,,http://vocab.getty.edu/page/ulan/500030726,https://www.wikidata.org/wiki/Q982284,1869,1869,1869,Oil on canvas,44 1/8 x 66 3/8 in. (112.1 x 168.6 cm),"Bequest of Maria DeWitt Jesup, from the collection of her husband, Morris K. Jesup, 1914",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11311,https://www.wikidata.org/wiki/Q19924308,,"Metropolitan Museum of Art, New York, NY",Lakes|Landscapes,http://vocab.getty.edu/page/aat/300008680|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q23397|https://www.wikidata.org/wiki/Q191163
74.38,False,True,True,11318,774,The American Wing,1874,Painting,"The Old Pine, Darien, Connecticut",American,,,,,16202,Artist," ",John Frederick Kensett,"American, Cheshire, Connecticut 1816–1872 New York"," ","Kensett, John Frederick",American,1816      ,1872      ,,http://vocab.getty.edu/page/ulan/500030726,https://www.wikidata.org/wiki/Q982284,1872,1872,1872,Oil on canvas,34 3/8 x 27 1/4 in. (87.3 x 69.2 cm),"Gift of Thomas Kensett, 1874",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11318,https://www.wikidata.org/wiki/Q19924120,,"Metropolitan Museum of Art, New York, NY",Landscapes|Trees,http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300132410,https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q10884
74.24,False,True,True,11329,761,The American Wing,1874,Painting,"Twilight on the Sound, Darien, Connecticut",American,,,,,16202,Artist," ",John Frederick Kensett,"American, Cheshire, Connecticut 1816–1872 New York"," ","Kensett, John Frederick",American,1816      ,1872      ,,http://vocab.getty.edu/page/ulan/500030726,https://www.wikidata.org/wiki/Q982284,1872,1872,1872,Oil on canvas,11 1/2 x 24 1/2 in. (29.2 x 62.2 cm),"Gift of Thomas Kensett, 1874",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11329,https://www.wikidata.org/wiki/Q20170753,,"Metropolitan Museum of Art, New York, NY",Landscapes|Boats,http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300178749,https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q35872
50.113.3,False,True,True,11376,,The American Wing,1950,Watercolor,Wild Roses and Irises,American,,,,,16204,Artist," ",John La Farge,"American, New York 1835–1910 Providence, Rhode Island"," ","La Farge, John",American,1835      ,1910      ,,http://vocab.getty.edu/page/ulan/500022926,https://www.wikidata.org/wiki/Q3120087,1887,1887,1887,Gouache and watercolor on white wove paper,14 1/2 x 10 7/16 in. (36.8 x 26.5 cm),"Gift of Priscilla A. B. Henderson, in memory of her grandfather, Russell Sturgis, a founder of The Metropolitan Museum of Art, 1950",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11376,https://www.wikidata.org/wiki/Q20177575,,"Metropolitan Museum of Art, New York, NY",Roses|Flowers,http://vocab.getty.edu/page/aat/300266246|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q102231|https://www.wikidata.org/wiki/Q506
1978.203,True,True,True,11396,761,The American Wing,1978,Painting,Stage Fort across Gloucester Harbor,American,,,,,267,Artist," ",Fitz Henry Lane (formerly Fitz Hugh Lane),1804–1865," ","Lane, Fitz Henry",American,1804      ,1865      ,,http://vocab.getty.edu/page/ulan/500007673,https://www.wikidata.org/wiki/Q462404,1862,1862,1862,Oil on canvas,38 x 60 in. (96.5 x 152.4 cm),"Purchase, Rogers and Fletcher Funds, Erving and Joyce Wolf Fund, Raymond J. Horowitz Gift, Bequest of Richard De Wolfe Brixey, by exchange, and John Osgood and Elizabeth Amis Cameron Blanchard Memorial Fund, 1978",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11396,https://www.wikidata.org/wiki/Q20169737,,"Metropolitan Museum of Art, New York, NY",Human Figures|Trees|Boats|Ships,http://vocab.getty.edu/page/aat/300404114|http://vocab.getty.edu/page/aat/300132410|http://vocab.getty.edu/page/aat/300178749|http://vocab.getty.edu/page/aat/300082981,https://www.wikidata.org/wiki/Q5937779|https://www.wikidata.org/wiki/Q10884|https://www.wikidata.org/wiki/Q35872|https://www.wikidata.org/wiki/Q11446
66.126,True,True,True,11619,758,The American Wing,1966,Painting,Cider Making,American,,,,,16214,Artist," ",William Sidney Mount,"American, Setauket, New York 1807–1868 Setauket, New York"," ","Mount, William Sidney",American,1807      ,1868      ,,http://vocab.getty.edu/page/ulan/500017404,https://www.wikidata.org/wiki/Q45431,1840–41,1840,1841,Oil on canvas,27 x 34 1/8 in. (68.6 x 86.7 cm),"Purchase, Bequest of Charles Allen Munn, by exchange, 1966",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11619,https://www.wikidata.org/wiki/Q20169755,,"Metropolitan Museum of Art, New York, NY",Men|Women|Mountains|Working,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300412186,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q6958747
94.9.2,False,True,True,11677,759,The American Wing,1894,Sculpture,"Indian Girl, or The Dawn of Christianity",American,,,,,16219,Artist," ",Erastus Dow Palmer,"American, Pompey, New York 1817–1904 Albany, New York"," ","Palmer, Erastus Dow",American,1817      ,1904      ,,http://vocab.getty.edu/page/ulan/500023296,https://www.wikidata.org/wiki/Q5385009,1853–56; carved 1855–56,1853,1856,Marble,60 x 19 3/4 x 22 1/4 in. (152.4 x 50.2 x 56.5 cm),"Bequest of Hamilton Fish, 1894",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11677,https://www.wikidata.org/wiki/Q83559792,,"Metropolitan Museum of Art, New York, NY",Female Nudes,http://vocab.getty.edu/page/aat/300189568,https://www.wikidata.org/wiki/Q40446
83.2.122,False,True,True,11706,,The American Wing,1883,"Painting, miniature",George Washington,American,,,,,16221,Artist," ",Charles Willson Peale,"American, Chester, Maryland 1741–1827 Philadelphia, Pennsylvania"," ","Peale, Charles Willson",American,1741      ,1827      ,,http://vocab.getty.edu/page/ulan/500017914,https://www.wikidata.org/wiki/Q454945,ca. 1777,1774,1777,Watercolor on ivory,1 1/2 x 1 3/8 in. (3.8 x 3.5 cm),"Gift of William H. Huntington, 1883",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11706,https://www.wikidata.org/wiki/Q20177620,,"Metropolitan Museum of Art, New York, NY",George Washington|Men|Portraits,http://vocab.getty.edu/page/ulan/500126198|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q23|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307
31.118,False,True,True,11722,,The American Wing,1931,"Painting, miniature",Richard Thomas III,American,,,,,16221,Artist," ",James Peale,"American, Chestertown, Maryland 1749–1831 Philadelphia, Pennsylvania"," ","Peale, James",American,1749      ,1831      ,,http://vocab.getty.edu/page/ulan/500029852,https://www.wikidata.org/wiki/Q3161332,1796,1796,1796,Watercolor on ivory,Sight: 2 1/4 x 1 7/8 in. (7.3 x 5.9 cm),"Maria DeWitt Jesup Fund, 1931",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11722,https://www.wikidata.org/wiki/Q20177626,,"Metropolitan Museum of Art, New York, NY",Men|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307
1982.443.2,True,True,True,11792,760,The American Wing,1982,Bust,George Washington,American,,,,,16227,Artist," ",Hiram Powers,"American, Woodstock, Vermont 1805–1873 Florence"," ","Powers, Hiram",American,1805      ,1873      ,,http://vocab.getty.edu/page/ulan/500013708,https://www.wikidata.org/wiki/Q2572996,"1838–44, carved after 1844",1838,1844,Marble,31 x 23 x 14 in. (78.7 x 58.4 x 35.6 cm),"Gift of Erving and Joyce Wolf, in memory of Diane R. Wolf, 1982",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11792,https://www.wikidata.org/wiki/Q29383002,,"Metropolitan Museum of Art, New York, NY",George Washington|Men|Portraits,http://vocab.getty.edu/page/ulan/500126198|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q23|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307
68.222.10,False,True,True,11839,,The American Wing,1968,"Painting, miniature",George Henry Remsen,American,,,,,282,Artist," ",William Verstille,"American, Boston, Massachusetts 1757–1803 Boston, Massachusetts"," ","Verstille, William",American,1757      ,1803      ,,http://vocab.getty.edu/page/ulan/500008628,https://www.wikidata.org/wiki/Q8019715,ca. 1790,1787,1790,Watercolor on ivory,1 7/8 x 1 1/2 in. (4.8 x 3.7 cm),"Gift of J. William Middendorf II, 1968",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11839,https://www.wikidata.org/wiki/Q19925024,,"Metropolitan Museum of Art, New York, NY",Men|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307
39.65.45,True,True,True,11859,765,The American Wing,1939,Sculpture,The Broncho Buster,American,,,,,16229,Artist," ",Frederic Remington,"American, Canton, New York 1861–1909 Ridgefield, Connecticut"," ","Remington, Frederic",American,1861      ,1909      ,,http://vocab.getty.edu/page/ulan/500024759,https://www.wikidata.org/wiki/Q560787,"1895, revised 1909, cast by November 1910",1895,1909,Bronze,32 1/4 x 27 1/4 x 15 in. (81.9 x 69.2 x 38.1 cm),"Bequest of Jacob Ruppert, 1939",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11859,https://www.wikidata.org/wiki/Q83559803,,"Metropolitan Museum of Art, New York, NY",Horses|Men,http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q8441
1986.81.2,False,True,True,11860,774,The American Wing,1986,Sculpture,The Broncho Buster,American,,,,,16229,Artist," ",Frederic Remington,"American, Canton, New York 1861–1909 Ridgefield, Connecticut"," ","Remington, Frederic",American,1861      ,1909      ,,http://vocab.getty.edu/page/ulan/500024759,https://www.wikidata.org/wiki/Q560787,"1895, cast 1918",1895,1918,Bronze,22 3/4 x 18 3/4 x 14 in. (57.8 x 47.6 x 35.6 cm),"Bequest of Helen R. Bleibtreu, 1985",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11860,https://www.wikidata.org/wiki/Q83559806,,"Metropolitan Museum of Art, New York, NY",Horses|Men,http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q8441
07.80,False,True,True,11862,774,The American Wing,1907,Sculpture,The Cheyenne,American,,,,,16229,Artist," ",Frederic Remington,"American, Canton, New York 1861–1909 Ridgefield, Connecticut"," ","Remington, Frederic",American,1861      ,1909      ,,http://vocab.getty.edu/page/ulan/500024759,https://www.wikidata.org/wiki/Q560787,"1901, cast by March 1907",1901,1907,Bronze,20 1/4 x 25 x 8 in. (51.4 x 63.5 x 20.3 cm),"Rogers Fund, 1907",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11862,https://www.wikidata.org/wiki/Q83559810,,"Metropolitan Museum of Art, New York, NY",Horses|Men,http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q8441
07.79,True,True,True,11865,765,The American Wing,1907,Sculpture,The Mountain Man,American,,,,,16229,Artist," ",Frederic Remington,"American, Canton, New York 1861–1909 Ridgefield, Connecticut"," ","Remington, Frederic",American,1861      ,1909      ,,http://vocab.getty.edu/page/ulan/500024759,https://www.wikidata.org/wiki/Q560787,"1903, cast by March 1907",1903,1907,Bronze,27 3/4 x 12 x 10 in. (70.5 x 30.5 x 25.4 cm),"Rogers Fund, 1907",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11865,https://www.wikidata.org/wiki/Q29383005,,"Metropolitan Museum of Art, New York, NY",Men|Horses,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300250148,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q726
07.77,False,True,True,11866,,The American Wing,1907,Sculpture,The Old Dragoons of 1850,American,,,,,16229,Artist," ",Frederic Remington,"American, Canton, New York 1861–1909 Ridgefield, Connecticut"," ","Remington, Frederic",American,1861      ,1909      ,,http://vocab.getty.edu/page/ulan/500024759,https://www.wikidata.org/wiki/Q560787,"1905, cast 1907",1905,1907,Bronze,26 7/8 x 47 x 17 in. (68.3 x 119.4 x 43.2 cm),"Rogers Fund, 1907",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11866,https://www.wikidata.org/wiki/Q83559813,,"Metropolitan Museum of Art, New York, NY",Horses|Battles|Soldiers|Firearms|Swords,http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300185692|http://vocab.getty.edu/page/aat/300185678|http://vocab.getty.edu/page/aat/300037148|http://vocab.getty.edu/page/aat/300037048,https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q178561|https://www.wikidata.org/wiki/Q4991371|https://www.wikidata.org/wiki/Q12796|https://www.wikidata.org/wiki/Q12791
80.1.6,True,True,True,11897,,The American Wing,1880,Watercolor,Lake Squam from Red Hill,American,,,,,16230,Artist," ",William Trost Richards,"American, Philadelphia, Pennsylvania 1833–1905 Newport, Rhode Island"," ","Richards, William Trost",American,1833      ,1905      ,,http://vocab.getty.edu/page/ulan/500014455,https://www.wikidata.org/wiki/Q1985982,1874,1874,1874,"Watercolor, gouache, and graphite on light gray-green wove paper",8 7/8 x 13 9/16 in. (22.5 x 34.4 cm),"Gift of The Reverend E. L. Magoon, D.D., 1880",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11897,https://www.wikidata.org/wiki/Q19924202,,"Metropolitan Museum of Art, New York, NY",Landscapes|Lakes,http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300008680,https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q23397
54.90.168,False,True,True,11925,,The American Wing,1954,Watercolor,"Collect Pond, New York City",American,,,,,284016231,Former Attribution|Artist,Formerly attributed to|Attributed to,Alexander Robertson|Archibald Robertson,"1772–1841|American, Moneymusk, Scotland 1765–1835 New York"," | ","Robertson, Alexander|Robertson, Archibald","American|American, Scottish",1772      |1765      ,1841      |1835      ,|,http://vocab.getty.edu/page/ulan/500020808|http://vocab.getty.edu/page/ulan/500002809,https://www.wikidata.org/wiki/Q17984948|https://www.wikidata.org/wiki/Q17747277,1798,1798,1798,Watercolor and black chalk on off-white laid paper,17 3/4 x 23 1/16 in. (45.1 x 58.6 cm),"The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11925,https://www.wikidata.org/wiki/Q83559824,,"Metropolitan Museum of Art, New York, NY",New York City|Men|Women|Ponds|Landscapes,http://vocab.getty.edu/page/tgn/7007567|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300008688|http://vocab.getty.edu/page/aat/300132294,https://www.wikidata.org/wiki/Q60|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q3253281|https://www.wikidata.org/wiki/Q191163
19.124,False,True,True,11993,700,The American Wing,1919,Sculpture,Amor Caritas,American,,,,,16236,Artist," ",Augustus Saint-Gaudens,"American, Dublin 1848–1907 Cornish, New Hampshire"," ","Saint-Gaudens, Augustus",American,1848      ,1907      ,,http://vocab.getty.edu/page/ulan/500124332,https://www.wikidata.org/wiki/Q770625,"1880–98, cast 1918",1880,1918,"Bronze, gilt",103 1/4 x 50 in. (262.3 x 127 cm),"Rogers Fund, 1918",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11993,https://www.wikidata.org/wiki/Q83559830,,"Metropolitan Museum of Art, New York, NY",Women,http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q467
28.101,False,True,True,11998,700,The American Wing,1928,Sculpture,Diana,American,,,,,16236,Artist," ",Augustus Saint-Gaudens,"American, Dublin 1848–1907 Cornish, New Hampshire"," ","Saint-Gaudens, Augustus",American,1848      ,1907      ,,http://vocab.getty.edu/page/ulan/500124332,https://www.wikidata.org/wiki/Q770625,"1892–93, cast 1928",1892,1928,"Bronze, gilt",101 3/4 x 53 1/2 x 14 1/8 in. (258.4 x 135.9 x 35.9 cm),"Rogers Fund, 1928",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/11998,https://www.wikidata.org/wiki/Q83559834,,"Metropolitan Museum of Art, New York, NY",Bow and Arrow|Female Nudes|Diana," |http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/ia/901000118",https://www.wikidata.org/wiki/Q19827042|https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q132543
1976.388,False,True,True,12013,768,The American Wing,1976,Sculpture,Mrs. Stanford White (Bessie Springs Smith),American,,,,,16236,Artist," ",Augustus Saint-Gaudens,"American, Dublin 1848–1907 Cornish, New Hampshire"," ","Saint-Gaudens, Augustus",American,1848      ,1907      ,,http://vocab.getty.edu/page/ulan/500124332,https://www.wikidata.org/wiki/Q770625,"1884, carved by 1888",1884,1888,Marble,"25 x 12 in., (63.5 x 30.5 cm)","Gift of Erving Wolf Foundation, in memory of Diane R. Wolf, 1976",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/12013,https://www.wikidata.org/wiki/Q83559848,,"Metropolitan Museum of Art, New York, NY",Portraits|Women,http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q467
17.90.1,True,True,True,12019,771,The American Wing,1917,Sculpture,Victory,American,,,,,16236,Artist," ",Augustus Saint-Gaudens,"American, Dublin 1848–1907 Cornish, New Hampshire"," ","Saint-Gaudens, Augustus",American,1848      ,1907      ,,http://vocab.getty.edu/page/ulan/500124332,https://www.wikidata.org/wiki/Q770625,"1892–1903; this cast, 1914 or after (by 1916)",1892,1903,"Bronze, gilt","38 x 9 1/2 x 18 1/2 in., (96.5 x 24.1 x 47 cm)","Rogers Fund, 1917",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/12019,https://www.wikidata.org/wiki/Q29383018,,"Metropolitan Museum of Art, New York, NY",Eagles|Women|Victory|Palms,http://vocab.getty.edu/page/aat/300250049|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/ia/901000289| ,https://www.wikidata.org/wiki/Q2092297|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q308902|https://www.wikidata.org/wiki/Q14080
62.79.1,True,True,True,12600,747,The American Wing,1962,Painting,Francis Brinley,American,,,,,16535,Artist," ",John Smibert,"American, Edinburgh, Scotland 1688–1751 Boston, Massachusetts"," ","Smibert, John","American, Scottish",1688      ,1751      ,,http://vocab.getty.edu/page/ulan/500006043,https://www.wikidata.org/wiki/Q3182482,1729,1729,1729,Oil on canvas,50 x 39 1/4 in. (127 x 99.7 cm),"Rogers Fund, 1962",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/12600,https://www.wikidata.org/wiki/Q19925258,,"Metropolitan Museum of Art, New York, NY",Men|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307
22.28.1,False,True,True,12617,,The American Wing,1922,Watercolor,"Shop and Warehouse of Duncan Phyfe, 168–172 Fulton Street, New York City",American,,,,,16243,Former Attribution,Formerly attributed to,John Rubens Smith,"American, London 1775–1849 New York"," ","Smith, John Rubens",American,1775      ,1849      ,,http://vocab.getty.edu/page/ulan/500020310,https://www.wikidata.org/wiki/Q1701617,1817–20,1817,1820,"Watercolor, ink, and gouache on white laid paper",15 7/8 x 19 5/8 in. (40.3 x 49.8 cm),"Rogers Fund, 1922",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/12617,https://www.wikidata.org/wiki/Q20179076,,"Metropolitan Museum of Art, New York, NY",New York City|Warehouses|Shops,http://vocab.getty.edu/page/tgn/7007567|http://vocab.getty.edu/page/aat/300007722|http://vocab.getty.edu/page/aat/300432409,https://www.wikidata.org/wiki/Q60|https://www.wikidata.org/wiki/Q181623|https://www.wikidata.org/wiki/Q213441
1970.262,False,True,True,12672,,The American Wing,1970,Painting,"Louis-Marie, Vicomte de Noailles",American,,,,,16249,Artist," ",Gilbert Stuart,"American, North Kingston, Rhode Island 1755–1828 Boston, Massachusetts"," ","Stuart, Gilbert",American,1755      ,1828      ,,http://vocab.getty.edu/page/ulan/500010392,https://www.wikidata.org/wiki/Q41402,1798,1798,1798,Oil on canvas,50 x 40 in. (127 x 101.6 cm),"Purchase, Henry R. Luce Gift, Elihu Root Jr. Bequest, Rogers Fund, Maria DeWitt Jesup Fund, Morris K. Jesup Fund and Charles and Anita Blatt Gift, 1970",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/12672,https://www.wikidata.org/wiki/Q19924572,,"Metropolitan Museum of Art, New York, NY",Men|Portraits|Horses,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300250148,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q726
21.48,False,True,True,12699,733,The American Wing,1921,Painting,Musidora,American,,,,,16249,Artist," ",Thomas Sully,"American, Horncastle, Lincolnshire 1783–1872 Philadelphia, Pennsylvania"," ","Sully, Thomas",American,1783      ,1872      ,,http://vocab.getty.edu/page/ulan/500006873,https://www.wikidata.org/wiki/Q786545,1813–35,1813,1835,Oil on wood,28 1/8 x 22 1/2 in. (71.4 x 57.2 cm),"Gift of Louis Allston Gillet, in memory of his uncles, Sully Gillet and Lorenzo M. Gillet, 1921",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/12699,https://www.wikidata.org/wiki/Q19924758,,"Metropolitan Museum of Art, New York, NY",Female Nudes|Bathing,http://vocab.getty.edu/page/aat/300189568|http://vocab.getty.edu/page/aat/300343854,https://www.wikidata.org/wiki/Q40446|https://www.wikidata.org/wiki/Q327651
94.23.3,False,True,True,12701,774,The American Wing,1894,Painting,Portrait of the Artist,American,,,,,16249,Artist," ",Thomas Sully,"American, Horncastle, Lincolnshire 1783–1872 Philadelphia, Pennsylvania"," ","Sully, Thomas",American,1783      ,1872      ,,http://vocab.getty.edu/page/ulan/500006873,https://www.wikidata.org/wiki/Q786545,1821,1821,1821,Oil on canvas,17 1/8 x 14 in. (43.5 x 35.6 cm),"Gift of Mrs. Rosa C. Stanfield, in memory of her father, Henry Robinson, 1894",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/12701,https://www.wikidata.org/wiki/Q20170480,,"Metropolitan Museum of Art, New York, NY",Men|Self-portraits|Artists,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300124534|http://vocab.getty.edu/page/aat/300025103,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q192110|https://www.wikidata.org/wiki/Q483501
06.1346.2,False,True,True,12821,,The American Wing,1906,Drawing,"Hugh Mercer, Jr. (Study for ""The Death of General Mercer at the Battle of Princeton, Janury 3, 1777"")",American,,,,,16256,Artist," ",John Trumbull,"American, Lebanon, Connecticut 1756–1843 New York"," ","Trumbull, John",American,1756      ,1843      ,,http://vocab.getty.edu/page/ulan/500016000,https://www.wikidata.org/wiki/Q369263,1791,1791,1791,Graphite on off-white laid paper,4 15/16 x 3 1/8 in. (12.5 x 7.9 cm),"Gift of Robert W. de Forest, 1906",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/12821,https://www.wikidata.org/wiki/Q83559870,,"Metropolitan Museum of Art, New York, NY",Men|Portraits,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307
1976.332,True,True,True,12828,753,The American Wing,1976,Painting,The Sortie Made by the Garrison of Gibraltar,American,,,,,16256,Artist," ",John Trumbull,"American, Lebanon, Connecticut 1756–1843 New York"," ","Trumbull, John",American,1756      ,1843      ,,http://vocab.getty.edu/page/ulan/500016000,https://www.wikidata.org/wiki/Q369263,1789,1789,1789,Oil on canvas,71 x 107 in. (180.3 x 271.8 cm),"Purchase, Pauline V. Fullerton Bequest; Mr. and Mrs. James Walter Carter and Mr. and Mrs. Raymond J. Horowitz Gifts; Erving Wolf Foundation and Vain and Harry Fish Foundation Inc. Gifts; Gift of Hanson K. Corning, by exchange; and Maria DeWitt Jesup and Morris K. Jesup Funds, 1976",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/12828,https://www.wikidata.org/wiki/Q7765338,,"Metropolitan Museum of Art, New York, NY",Men|Battles|Soldiers,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300185692|http://vocab.getty.edu/page/aat/300185678,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q178561|https://www.wikidata.org/wiki/Q4991371
1976.338,False,True,True,12917,774,The American Wing,1976,Painting,The Williamson Family,American,,,,,16536,Artist," ",John Mix Stanley,"American, Canandaigua, New York 1814–1872 Detroit, Michigan"," ","Stanley, John Mix",American,1814      ,1872      ,,http://vocab.getty.edu/page/ulan/500028784,https://www.wikidata.org/wiki/Q2676888,ca. 1841–42,1838,1842,Oil on canvas,27 x 22 in. (68.6 x 55.9 cm),"Gift of George H. Danforth, III, 1976",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/12917,https://www.wikidata.org/wiki/Q19925308,,"Metropolitan Museum of Art, New York, NY",Children|Men|Women|Family|Toys,http://vocab.getty.edu/page/aat/300025945|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300435378|http://vocab.getty.edu/page/aat/300211037,https://www.wikidata.org/wiki/Q7569|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q8436|https://www.wikidata.org/wiki/Q11422
